
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PS,WD10M,PRECTOTCORR
2015,1,12,3,0.0,24.91,85.63,4.23,100.63,115.8,2.07
2015,1,12,4,0.0,24.85,85.66,4.2,100.66,117.2,1.7
2015,1,12,5,0.0,24.85,85.65,4.13,100.71,119.4,1.59
2015,1,12,6,22.45,25.31,83.3,4.68,100.78,120.6,1.35
2015,1,12,7,130.8,26.7,75.19,6.24,100.85,117.9,1.61
2015,1,12,8,316.35,28.29,65.81,7.07,100.89,114.8,1.12
2015,1,12,9,499.58,29.53,60.33,7.46,100.89,113.4,1.48
2015,1,12,10,760.6,30.56,56.45,7.78,100.86,112.3,0.88
2015,1,12,11,836.6,31.21,54.37,8.12,100.8,111.6,0.58
2015,1,12,12,857.08,31.46,53.6,8.43,100.74,111.6,0.4
2015,1,12,13,809.78,31.52,52.84,8.58,100.68,113.1,0.29
2015,1,12,14,694.55,31.25,53.18,8.53,100.63,115.6,0.19
2015,1,12,15,527.53,30.65,54.65,8.43,100.59,118.5,0.14
2015,1,12,16,331.55,29.67,58.0,8.39,100.6,121.2,0.23
2015,1,12,17,151.0,28.49,62.16,8.27,100.65,123.1,0.2
2015,1,12,18,18.42,27.24,67.42,7.69,100.7,124.5,0.14
2015,1,12,19,0.0,26.69,70.98,7.16,100.74,126.1,0.07
2015,1,12,20,0.0,26.33,73.13,6.67,100.78,128.2,0.07
2015,1,12,21,0.0,26.04,75.04,6.05,100.81,130.2,0.11
2015,1,12,22,0.0,25.9,76.2,5.73,100.84,131.7,0.13
2015,1,12,23,0.0,25.76,77.28,5.64,100.79,131.8,0.22
2015,1,13,0,0.0,25.61,78.4,5.6,100.72,131.2,0.43
2015,1,13,1,0.0,25.46,79.08,5.61,100.63,130.0,0.81
2015,1,13,2,0.0,25.33,79.16,5.62,100.58,128.5,0.96
2015,1,13,3,0.0,25.23,79.13,5.51,100.57,128.1,0.87
2015,1,13,4,0.0,25.14,79.23,5.46,100.59,128.2,0.81
2015,1,13,5,0.0,25.05,79.49,5.44,100.63,128.7,0.73
2015,1,13,6,26.85,25.29,78.9,5.73,100.69,129.8,0.82
2015,1,13,7,178.23,26.49,72.25,7.16,100.76,126.7,0.6
2015,1,13,8,398.23,28.03,63.82,8.15,100.8,120.4,0.47
2015,1,13,9,603.95,29.31,58.4,8.65,100.8,116.0,0.48
2015,1,13,10,846.03,30.25,54.98,8.87,100.78,113.4,0.47
2015,1,13,11,950.28,30.96,52.07,8.96,100.75,112.2,0.26
2015,1,13,12,956.03,31.29,50.1,8.95,100.69,112.3,0.07
2015,1,13,13,904.12,31.32,49.53,8.72,100.62,113.5,0.02
2015,1,13,14,749.38,31.02,50.06,8.46,100.56,115.9,0.02
2015,1,13,15,565.55,30.37,51.9,8.31,100.51,119.1,0.0
2015,1,13,16,359.15,29.33,55.05,8.18,100.51,121.8,0.0
2015,1,13,17,160.65,28.13,58.95,7.92,100.54,123.9,0.01
2015,1,13,18,19.45,26.95,64.35,7.29,100.58,126.2,0.03
2015,1,13,19,0.0,26.53,67.42,6.88,100.64,129.0,0.04
2015,1,13,20,0.0,26.23,69.83,6.39,100.7,131.7,0.06
2015,1,13,21,0.0,26.05,71.89,6.05,100.75,133.7,0.09
2015,1,13,22,0.0,25.84,73.47,5.76,100.77,135.4,0.1
2015,1,13,23,0.0,25.64,74.8,5.61,100.74,136.4,0.12
2015,1,14,0,0.0,25.42,75.93,5.35,100.67,136.8,0.13
2015,1,14,1,0.0,25.19,76.91,4.99,100.59,136.5,0.11
2015,1,14,2,0.0,25.02,77.3,4.75,100.53,135.7,0.11
2015,1,14,3,0.0,24.97,76.96,4.7,100.5,134.7,0.05
2015,1,14,4,0.0,24.92,76.68,4.67,100.5,133.9,0.04
2015,1,14,5,0.0,24.89,76.4,4.69,100.54,133.2,0.04
2015,1,14,6,18.1,25.3,74.11,5.22,100.6,131.8,0.06
2015,1,14,7,193.15,26.57,66.78,6.44,100.68,128.8,0.08
2015,1,14,8,483.58,28.06,59.71,7.03,100.71,126.1,0.08
2015,1,14,9,686.42,29.31,55.23,7.38,100.72,124.3,0.04
2015,1,14,10,814.97,30.32,52.03,7.73,100.69,123.0,0.0
2015,1,14,11,942.92,31.1,49.56,8.02,100.64,122.3,0.0
2015,1,14,12,986.0,31.53,48.52,8.22,100.6,121.9,0.0
2015,1,14,13,951.03,31.53,48.8,8.3,100.56,122.2,0.0
2015,1,14,14,810.1,31.16,50.13,8.27,100.51,123.4,0.0
2015,1,14,15,612.65,30.53,51.95,8.2,100.48,125.1,0.0
2015,1,14,16,392.85,29.63,54.48,8.07,100.49,126.9,0.01
2015,1,14,17,176.45,28.34,58.89,7.78,100.54,129.4,0.01
2015,1,14,18,19.27,27.0,64.53,7.11,100.6,132.3,0.01
2015,1,14,19,0.0,26.44,67.93,6.61,100.66,135.1,0.01
2015,1,14,20,0.0,26.18,69.76,6.32,100.71,138.0,0.01
2015,1,14,21,0.0,25.95,71.21,6.06,100.74,140.8,0.02
2015,1,14,22,0.0,25.81,71.91,5.86,100.76,144.1,0.02
2015,1,14,23,0.0,25.69,72.17,5.65,100.74,147.4,0.04
2015,1,15,0,0.0,25.48,72.84,5.44,100.68,149.5,0.04
2015,1,15,1,0.0,25.23,74.23,5.15,100.62,150.0,0.09
2015,1,15,2,0.0,25.02,75.52,5.06,100.56,148.7,0.09
2015,1,15,3,0.0,24.82,76.86,4.93,100.53,145.8,0.05
2015,1,15,4,0.0,24.67,78.07,4.82,100.54,141.7,0.03
2015,1,15,5,0.0,24.65,78.6,4.76,100.58,137.7,0.03
2015,1,15,6,32.1,25.06,77.25,5.07,100.64,135.6,0.11
2015,1,15,7,227.88,26.45,69.64,6.24,100.73,131.2,0.24
2015,1,15,8,463.62,27.92,62.15,6.65,100.78,126.7,0.24
2015,1,15,9,690.85,29.48,55.61,6.87,100.78,123.0,0.26
2015,1,15,10,776.85,30.6,51.27,7.09,100.76,119.7,0.39
2015,1,15,11,968.58,31.35,49.11,7.27,100.72,117.0,0.5
2015,1,15,12,1011.22,31.71,48.19,7.36,100.67,115.4,0.32
2015,1,15,13,941.5,31.73,48.15,7.37,100.62,115.2,0.14
2015,1,15,14,820.2,31.43,48.91,7.23,100.57,116.1,0.07
2015,1,15,15,632.75,30.85,50.36,7.11,100.53,117.6,0.02
2015,1,15,16,406.35,29.87,53.45,7.14,100.53,119.8,0.02
2015,1,15,17,172.05,28.56,58.29,6.97,100.57,123.3,0.01
2015,1,15,18,18.02,27.19,64.1,6.39,100.63,127.3,0.01
2015,1,15,19,0.0,26.57,67.52,5.97,100.69,130.5,0.03
2015,1,15,20,0.0,26.23,69.45,5.66,100.76,133.1,0.06
2015,1,15,21,0.0,25.91,71.24,5.34,100.81,134.5,0.04
2015,1,15,22,0.0,25.6,73.1,5.04,100.82,134.9,0.05
